"","x"
"1","A1bg"
"2","Abca1"
"3","Ackr1"
"4","Ackr2"
"5","Ackr3"
"6","Ackr4"
"7","Acvr1"
"8","Acvr1b"
"9","Acvr1c"
"10","Acvr2a"
"11","Acvr2b"
"12","Acvrl1"
"13","Adam10"
"14","Adam12"
"15","Adam15"
"16","Adam17"
"17","Adam2"
"18","Adam23"
"19","Adam9"
"20","Adamts1"
"21","Adamts13"
"22","Adamts4"
"23","Adcy1"
"24","Adcy2"
"25","Adcy5"
"26","Adcy6"
"27","Adcy8"
"28","Adcy9"
"29","Adcyap1r1"
"30","Adgra2"
"31","Adgre5"
"32","Adgrg1"
"33","Adgrg3"
"34","Adgrg5"
"35","Adgrl4"
"36","Adgrv1"
"37","Adipor1"
"38","Adipor2"
"39","Adora1"
"40","Adora2a"
"41","Adora2b"
"42","Adra1a"
"43","Adra1b"
"44","Adra1d"
"45","Adra2a"
"46","Adra2b"
"47","Adra2c"
"48","Adrb1"
"49","Adrb2"
"50","Adrb3"
"51","Ager"
"52","Agtr2"
"53","Alcam"
"54","Alk"
"55","Alox5"
"56","Amfr"
"57","Amhr2"
"58","Amigo2"
"59","Anxa2"
"60","Apcdd1"
"61","Aplnr"
"62","Aplp1"
"63","Aplp2"
"64","Apoa1"
"65","App"
"66","Aqp1"
"67","Aqp2"
"68","Aqp5"
"69","Aqp9"
"70","Asgr1"
"71","Asgr2"
"72","Atp1a3"
"73","Atp6ap2"
"74","Atrn"
"75","Avpr1a"
"76","Avpr1b"
"77","Avpr2"
"78","Axl"
"79","Bace1"
"80","Bambi"
"81","Bcam"
"82","Bcl2"
"83","Bdkrb1"
"84","Bdkrb2"
"85","Bmpr1a"
"86","Bmpr1b"
"87","Bmpr2"
"88","Boc"
"89","Brs3"
"90","Btla"
"91","Btn2a2"
"92","Btnl12"
"93","AB124611"
"94","C1qb"
"95","C3ar1"
"96","C5ar1"
"97","C5ar2"
"98","Cachd1"
"99","Cacna1b"
"100","Cacna1c"
"101","Cacna1d"
"102","Cacna1e"
"103","Cadm1"
"104","Cadm2"
"105","Cadm3"
"106","Cadm4"
"107","Calcr"
"108","Calcrl"
"109","Camk2a"
"110","Catsper1"
"111","Ccbe1"
"112","Cckar"
"113","Cckbr"
"114","Ccr10"
"115","Ccr2"
"116","Ccr3"
"117","Ccr4"
"118","Ccr5"
"119","Ccr6"
"120","Ccr7"
"121","Ccr8"
"122","Ccr9"
"123","Ccrl2"
"124","Cd151"
"125","Cd160"
"126","Cd163"
"127","Cd180"
"128","Cd19"
"129","Cd2"
"130","Cd200"
"131","Cd22"
"132","Cd226"
"133","Cd244a"
"134","Cd247"
"135","Cd248"
"136","Cd27"
"137","Cd274"
"138","Cd276"
"139","Cd28"
"140","Cd300e"
"141","Cd300lb"
"142","Cd320"
"143","Cd36"
"144","Cd37"
"145","Cd38"
"146","Cd3d"
"147","Cd4"
"148","Cd40"
"149","Cd40lg"
"150","Cd44"
"151","Cd46"
"152","Cd47"
"153","Cd5"
"154","Cd53"
"155","Cd6"
"156","Cd63"
"157","Cd69"
"158","Cd7"
"159","Cd72"
"160","Cd74"
"161","Cd79a"
"162","Cd79b"
"163","Cd80"
"164","Cd81"
"165","Cd82"
"166","Cd86"
"167","Cd8a"
"168","Cd9"
"169","Cd93"
"170","Cd96"
"171","Cdh1"
"172","Cdh10"
"173","Cdh11"
"174","Cdh15"
"175","Cdh2"
"176","Cdh3"
"177","Cdh4"
"178","Cdh5"
"179","Cdh7"
"180","Cdon"
"181","Ceacam19"
"182","Celsr1"
"183","Cfap54"
"184","Cfb"
"185","Cftr"
"186","Chl1"
"187","Chrm3"
"188","Chrna1"
"189","Chrna10"
"190","Chrna3"
"191","Chrna4"
"192","Chrna9"
"193","Chrnb2"
"194","Chrnb3"
"195","Chrnb4"
"196","Cldn1"
"197","Cldn11"
"198","Cldn16"
"199","Cldn19"
"200","Cldn2"
"201","Cldn3"
"202","Cldn13"
"203","Cldn5"
"204","Cldn6"
"205","Cldn7"
"206","Cldn8"
"207","Cldn9"
"208","Clec12b"
"209","Clec14a"
"210","Clec1b"
"211","Clec2l"
"212","Clec4a1"
"213","Cmklr1"
"214","Cmklr2"
"215","Cnga2"
"216","Cnr1"
"217","Cnr2"
"218","Cntfr"
"219","Cntn1"
"220","Cntn2"
"221","Cntn5"
"222","Cntnap1"
"223","Cntnap2"
"224","Col13a1"
"225","Cr1l"
"226","Cr2"
"227","Crhr1"
"228","Crhr2"
"229","Crlf1"
"230","Crlf2"
"231","Csf1r"
"232","Csf2ra"
"233","Csf3r"
"234","Cspg4"
"235","Ctla4"
"236","Cx3cr1"
"237","Cxcr1"
"238","Cxcr2"
"239","Cxcr3"
"240","Cxcr4"
"241","Cxcr5"
"242","Cxcr6"
"243","Dag1"
"244","Dcbld2"
"245","Dcc"
"246","Dchs1"
"247","Ddr1"
"248","Ddr2"
"249","Dpp4"
"250","Drd4"
"251","Dsc1"
"252","Dsc3"
"253","Dscam"
"254","Dsg2"
"255","Dsg3"
"256","Dsg4"
"257","Dysf"
"258","Ece1"
"259","Eda2r"
"260","Edar"
"261","Ednra"
"262","Ednrb"
"263","Egfr"
"264","Eng"
"265","Enpep"
"266","Epcam"
"267","Epha1"
"268","Epha10"
"269","Epha2"
"270","Epha3"
"271","Epha4"
"272","Epha5"
"273","Epha6"
"274","Epha7"
"275","Epha8"
"276","Ephb1"
"277","Ephb2"
"278","Ephb3"
"279","Ephb4"
"280","Ephb6"
"281","Epor"
"282","Erap1"
"283","Erbb2"
"284","Erbb3"
"285","Erbb4"
"286","Esam"
"287","Evc2"
"288","Ezr"
"289","F10"
"290","F11"
"291","F11r"
"292","F12"
"293","F2r"
"294","F2rl1"
"295","F2rl2"
"296","F2rl3"
"297","F3"
"298","F5"
"299","F7"
"300","F8"
"301","F9"
"302","Fam187a"
"303","Fam187b"
"304","Fap"
"305","Fas"
"306","Fat4"
"307","Fcer1a"
"308","Fcgr1"
"309","Fcgrt"
"310","Fcrl1"
"311","Ffar2"
"312","Fgfr1"
"313","Fgfr2"
"314","Fgfr3"
"315","Fgfr4"
"316","Fgfrl1"
"317","Flrt3"
"318","Flt1"
"319","Flt3"
"320","Flt4"
"321","Fpr1"
"322","Fshr"
"323","Furin"
"324","Fxyd1"
"325","Fxyd6"
"326","Fzd1"
"327","Fzd10"
"328","Fzd2"
"329","Fzd3"
"330","Fzd4"
"331","Fzd5"
"332","Fzd6"
"333","Fzd7"
"334","Fzd8"
"335","Fzd9"
"336","Galr1"
"337","Galr2"
"338","Galr3"
"339","Gcgr"
"340","Gfra1"
"341","Gfra2"
"342","Gfra3"
"343","Gfra4"
"344","Gfral"
"345","Ghr"
"346","Ghrhr"
"347","Ghsr"
"348","Gipr"
"349","Gjb2"
"350","Gjb6"
"351","Glg1"
"352","Glp1r"
"353","Glp2r"
"354","Glra2"
"355","Gnas"
"356","Gnrhr"
"357","Gp1ba"
"358","Gp1bb"
"359","Gp5"
"360","Gp6"
"361","Gp9"
"362","Gpc1"
"363","Gpc4"
"364","Gpihbp1"
"365","Gpr135"
"366","Gpr15"
"367","Gpr151"
"368","Gpr161"
"369","Gpr182"
"370","Gpr19"
"371","Gpr20"
"372","Gpr25"
"373","Gpr35"
"374","Gpr37"
"375","Gpr37l1"
"376","Gpr39"
"377","Gpr55"
"378","Gpr75"
"379","Gprc6a"
"380","Grem2"
"381","Grin2a"
"382","Grin2b"
"383","Grin2c"
"384","Grin2d"
"385","Grm1"
"386","Grm4"
"387","Grm5"
"388","Grm7"
"389","Grpr"
"390","Gucy2c"
"391","Gucy2e"
"392","Has2"
"393","Havcr2"
"394","Hcrtr1"
"395","Hcrtr2"
"396","Hcst"
"397","Hhip"
"398","Hjv"
"399","Hmmr"
"400","Hrh1"
"401","Hrh2"
"402","Hrh3"
"403","Hrh4"
"404","Htr1a"
"405","Htr1b"
"406","Htr1f"
"407","Htr2a"
"408","Htr2b"
"409","Htr2c"
"410","Htr4"
"411","Htr5a"
"412","Htr6"
"413","Htr7"
"414","Icam1"
"415","Icos"
"416","Ifnar1"
"417","Ifnar2"
"418","Ifngr1"
"419","Ifngr2"
"420","Ifnlr1"
"421","Igdcc3"
"422","Igdcc4"
"423","Igf1r"
"424","Igf2r"
"425","Igflr1"
"426","Igsf11"
"427","Igsf21"
"428","Igsf8"
"429","Igsf9b"
"430","Il10ra"
"431","Il10rb"
"432","Il12rb1"
"433","Il12rb2"
"434","Il13ra1"
"435","Il13ra2"
"436","Il15ra"
